name,address,region,village,takeup_survey,age,agpop,educ,rice_inc,ricearea_2010,disaster_loss,insurance_repay,insurance_buy,disaster_prob,general_trust,male,default,delay,intensive,info_takeup_rate,info_takeup_list,info_none,understanding,day,risk_averse,literacy,educ_good,reveal,disaster_yes
1116823,dukou8,1,dukou,0,64,4,1,40,6,20,0,0,10,1,1,1,1,1,1,0,0,0.200000003,7,0.399999976,1,0,NA,1
1116859,dukou8,1,dukou,0,62,6,0,70,7,NA,1,0,40,1,1,1,1,0,1,0,0,0,7,0,0,0,NA,0
1116855,dukou8,1,dukou,0,34,2,1,60,6,30,0,0,30,1,1,1,1,0,1,0,0,0.600000024,7,0.600000024,1,0,NA,1
1116088,dukou2,1,dukou,0,62,3,1,NA,3,NA,1,1,20,1,1,0,1,0,1,0,0,0.600000024,9,0.800000012,1,0,NA,NA
1111042,fusheng21,1,fusheng,1,57,9,2,NA,1,NA,1,1,10,1,1,1,0,0,0,0,1,NA,1,0.600000024,1,1,1,0
1111124,fusheng23,1,fusheng,1,50,8,1,60,15,NA,0,1,30,1,1,1,0,0,0,0,1,NA,1,0,1,0,0,0
1111130,fusheng23,1,fusheng,1,64,6,2,20,4,NA,1,1,30,1,1,1,0,0,0,0,1,NA,1,0,1,1,0,1
1111162,fusheng31,1,fusheng,1,60,6,1,90,8.5,20,0,1,0,0,1,1,0,0,0,0,1,NA,2,0,1,0,0,1
1111190,fusheng31,1,fusheng,1,70,6,0,80,20,NA,1,0,20,1,1,1,0,0,0,0,1,NA,2,0,0,0,1,0
1111214,fusheng32,1,fusheng,1,37,4,1,NA,2.4,NA,1,0,0,1,1,1,0,1,0,0,1,NA,2,0.399999976,1,0,0,0
1116163,dukou31,1,dukou,0,77,6,0,30,4,NA,1,1,40,1,1,1,0,0,0,0,1,NA,5,0.600000024,0,0,NA,NA
1116235,dukou32,1,dukou,0,47,2,2,70,15,NA,0,0,50,1,1,1,0,1,0,0,1,NA,5,0.400000006,1,1,NA,NA
1119996354,caijia6,1,caijia,1,64,10,3,20,10,NA,0,1,10,1,1,1,0,0,0,0,1,1,9,0,1,1,0,1
1116214,dukou32,1,dukou,0,56,9,0,70,23,40,0,0,30,0,1,1,1,1,1,0,0,0.400000006,9,0.800000012,0,0,NA,1
1116240,dukou32,1,dukou,0,41,4,1,70,15,NA,0,0,50,1,1,1,0,0,0,0,1,0,5,0.400000006,1,0,NA,NA
1116299,dukou41,1,dukou,1,39,4,3,80,18,NA,1,1,40,1,1,1,1,1,0,0,1,0.600000024,9,0.600000024,1,1,NA,NA
1116328,dukou42,1,dukou,1,75,14,1,30,4,NA,1,1,20,1,1,1,1,0,0,0,1,0.800000012,7,0.800000012,1,0,NA,NA
1116368,dukou42,1,dukou,1,42,5,1,80,18,NA,1,1,40,1,1,1,1,1,1,0,0,0.800000012,7,0.600000024,1,0,NA,NA
1116319,dukou42,1,dukou,0,37,4,1,70,15,NA,0,0,30,1,1,1,0,1,0,0,1,NA,5,0.200000003,1,0,NA,NA
1116356,dukou42,1,dukou,1,71,4,0,40,5,NA,0,0,50,1,1,1,1,0,1,0,0,0.800000012,7,0,0,0,NA,NA
1116361,dukou42,1,dukou,0,35,4,2,80,18,NA,1,1,20,1,1,1,0,1,0,0,1,NA,5,0.800000012,1,1,NA,NA
1116379,dukou42,1,dukou,1,35,10,2,80,18,NA,1,1,40,1,1,1,1,1,0,0,1,0.600000024,7,0.600000024,1,1,NA,NA
1116396,dukou51,1,dukou,1,70,7,1,100,40,40,1,0,40,1,1,0,0,0,0,0,1,0.200000003,5,1,1,0,0,1
1116457,dukou52,1,dukou,1,48,3,2,80,18,NA,1,1,20,1,1,1,1,1,1,0,0,0.800000012,7,0.800000012,1,1,NA,NA
1116462,dukou52,1,dukou,1,48,3,2,80,18,NA,1,1,20,1,1,1,1,0,1,0,0,0.600000024,7,0.800000012,1,1,NA,NA
1116477,dukou52,1,dukou,0,68,14,0,NA,2,NA,1,1,40,1,1,1,1,1,0,1,0,0.800000012,7,0.600000024,0,0,NA,NA
1116492,dukou52,1,dukou,0,46,1,1,70,15,NA,0,0,50,1,1,1,0,1,0,0,1,NA,5,0.400000006,1,0,NA,NA
1116503,dukou52,1,dukou,0,41,3,1,70,15,NA,0,0,50,1,1,1,0,0,0,0,1,0,5,0.400000006,1,0,NA,NA
1116515,dukou52,1,dukou,0,49,4,1,60,4,NA,0,0,50,1,1,1,1,1,1,0,0,1,7,0,1,0,NA,NA
1116523,dukou52,1,dukou,1,42,7,0,80,18,NA,1,1,20,1,1,1,1,0,0,0,1,0.800000012,7,0.800000012,0,0,NA,NA
1116821,dukou8,1,dukou,1,73,6,1,30,4,NA,1,1,20,1,1,1,1,1,0,1,0,0.800000012,7,0.800000012,1,0,NA,NA
1116848,dukou8,1,dukou,1,31,4,3,80,18,NA,1,1,40,1,1,1,1,0,1,0,0,0.600000024,7,0.600000024,1,1,NA,NA
