"id","eigenvector","indegree","path_in_ind","path_out_ind"
1111031,0,2,2.8461537361145,1.60000002384186
1111032,0.314171761274338,3,2.53846144676208,2.40000009536743
1111034,0.132241949439049,3,2.64743590354919,2.18181824684143
1111035,0.00253397109918296,1,1,2.675950050354
1111036,0.115147024393082,2,2.69230771064758,3.59999990463257
1111038,0.293216526508331,4,2.1538462638855,2.20000004768372
1111040,0.277059882879257,1,3.69230771064758,1.5
1111041,0,7,1.92307686805725,2.70000004768372
1111042,0.0640537291765213,1,4,3
1111045,0,5,2.1538462638855,3.29999995231628
1111049,0.0840918868780136,2,4.307692527771,2.40000009536743
1111050,0,4,2.23076915740967,1.79999995231628
1111053,0.0148157840594649,3,2.64743590354919,3
1111054,0.000913843978196383,3,2.64743590354919,4.48148155212402
1111055,0.314171761274338,4,2.23076915740967,3.29999995231628
1111123,0.00258743995800614,1,0,3.76923084259033
1111124,0.000886193010956049,3,0,2.35897445678711
1111125,0.00105873798020184,2,0,3.6538462638855
1111126,0.0011308069806546,3,0,0
1111127,0.00339430803433061,3,0,3.42307686805725
1111128,0.0133616896346211,4,0,3.53846144676208
1111130,0.00130840705242008,1,0,0
1111131,0.000907781010027975,1,0,4.07692289352417
1111133,0.00248032994568348,6,3.07692313194275,4.307692527771
1111136,0.00211923802271485,3,0,0
1111140,0.0042838379740715,3,4.1538462638855,3.88461542129517
1111144,0.00380458706058562,1,0,3.92307686805725
1111145,0.00058048201026395,1,0,0
1111146,0.000998756964690983,3,0,3.80769228935242
1111147,0.000635930977296084,2,0,0
1111148,0.00047871601418592,1,0,1
1111151,0.0823465809226036,6,2.36363625526428,4.26470565795898
1111154,0.111395440995693,2,2.90909099578857,3.41176462173462
1111155,0.15809291601181,7,2.09090900421143,3.29411768913269
1111161,0.189935952425003,5,2.27272725105286,2.67647051811218
1111162,0.232050567865372,6,2.27272725105286,2.64705872535706
1111163,0.144499778747559,2,3.78787875175476,2.67647051811218
1111164,0.110873743891716,1,0,2.5
1111165,0.101401068270206,2,4.63636350631714,2.76470589637756
1111166,0.0693529769778252,2,0,2.88235282897949
1111169,0.14865443110466,4,2.4848484992981,3.5
1111170,0.0843216925859451,1,3.21212124824524,3.38235282897949
1111171,0.164321482181549,3,3.18181824684143,2.94117641448975
1111174,0.224974721670151,7,2.24242424964905,3.02941179275513
1111175,0.150469794869423,4,2.36363625526428,3.29411768913269
1111176,0.252694547176361,8,2.03030300140381,3.35294127464294
1111177,0,0,1.90909087657928,3.20588231086731
1111178,0.132416814565659,3,2.81818175315857,3.52941179275513
1111179,0.212182641029358,3,2.57575750350952,2.85294127464294
1111184,0.164399161934853,5,2.72727274894714,3.41176462173462
1111185,0.125313431024551,3,2.84848475456238,3.41176462173462
1111186,0.116721987724304,2,3.81818175315857,3.5
1111187,0.31015881896019,0,1.96969699859619,2.85294127464294
1111190,0.0242437887936831,2,3.45454549789429,0
1111191,0.0612931214272976,3,3.60606050491333,3.02941179275513
1111194,0.12898862361908,3.27272725105286,2.74655652046204,2.68571424484253
1111196,0.26828670501709,7,2.24242424964905,2.91176462173462
1111197,0.144680693745613,2,2.69696974754333,2.67647051811218
1111201,0.058120172470808,2,3.93939399719238,2.73529410362244
1111202,0.0788183286786079,1,3.69696974754333,3.91176462173462
1111203,0.110370315611362,1,3.63636374473572,2.70588231086731
1111205,0.222506567835808,5,2.78787875175476,2.47058820724487
1111207,0.134170293807983,3,3.21212124824524,2.67647051811218
1111208,0.0389250256121159,3,3.69696974754333,3.82352948188782
1111209,0.0924493595957756,3,3.15151524543762,2.58823537826538
1111211,0.0102897118777037,2,3.59459447860718,3.76923084259033
1111212,0.0223696399480104,3,4.54054069519043,3.86153841018677
1111214,0.026274660602212,1,3.51351356506348,3.69230771064758
1111218,0.0177796389907598,3,3.59459447860718,3.24615383148193
1111221,0.0473631136119366,1,3.10810804367065,3
1111222,0.0138541683554649,2,0,3.13846158981323
1111223,0.00854236446321011,4,0,0
1111225,0.00824595429003239,2,0,3.76923084259033
1111228,0.0191025678068399,5,0,4.09230756759644
1111229,0.0110440813004971,1,4,3.98461532592773
1111230,0.010905365459621,4,4.21621608734131,0
1111232,0.0200320556759834,3,0,4
1111235,0.0234608743339777,3,3.18918919563293,3.38461542129517
1111238,0.0067073330283165,1,4.02702713012695,4.4153847694397
1111240,0.0262119509279728,5,3.59459447860718,4.06153869628906
