"id","network_id"
33312109,33312002
33312062,33312002
33312055,33312002
33312030,33312002
33312015,33312003
33312109,33312003
33312030,33312003
33312080,33312003
33312022,33312003
33312025,33312003
33312002,33312003
33312057,33312003
33312092,33312005
33312025,33312005
33312003,33312005
33312013,33312007
33312022,33312007
33312017,33312007
33312048,33312007
33312016,33312007
33312034,33312007
33312109,33312008
33312032,33312008
33312051,33312008
33312007,33312008
33312065,33312008
33312080,33312008
33312060,33312008
33312071,33312008
33312144,33312008
33312074,33312008
33312058,33312008
33312055,33312008
33312091,33312008
33312105,33312008
33312095,33312008
33312062,33312008
33312020,33312008
33312017,33312011
33312058,33312011
33312005,33312011
33312074,33312011
33312025,33312013
33312007,33312013
33312035,33312014
33312105,33312014
33312078,33312014
33312109,33312014
33312019,33312014
33312020,33312014
33312110,33312015
33312003,33312015
33312033,33312015
33312054,33312015
33312058,33312015
33312036,33312015
33312144,33312015
33312025,33312015
33312092,33312015
33312109,33312015
33312098,33312015
33312055,33312016
33312007,33312017
33312013,33312017
33312048,33312017
33312034,33312017
33312057,33312018
33312022,33312018
33312062,33312018
33312030,33312018
33312048,33312018
33312046,33312018
33312110,33312018
33312051,33312019
33312105,33312019
33312035,33312019
33312034,33312019
33312016,33312020
33312060,33312022
33312034,33312022
33312014,33312022
33312111,33312022
33312018,33312022
33312057,33312022
33312112,33312022
33312016,33312022
33312033,33312022
33312046,33312022
33312007,33312025
33312054,33312025
33312015,33312025
33312003,33312025
33312005,33312025
33312011,33312025
33312070,33312025
33312020,33312025
33312092,33312025
33312144,33312025
33312045,33312027
33312017,33312027
33312011,33312027
33312030,33312027
33312069,33312030
33312016,33312030
33312018,33312030
33312110,33312033
33312057,33312033
33312093,33312033
33312106,33312033
33312112,33312033
33312018,33312033
33312098,33312033
33312111,33312033
33312046,33312033
33312054,33312034
33312069,33312034
33312099,33312034
33312035,33312034
33312019,33312034
33312090,33312034
33312106,33312034
33312019,33312035
33312034,33312035
33312099,33312035
33312046,33312036
33312093,33312036
33312003,33312036
33312025,33312036
33312020,33312044
33312011,33312044
33312005,33312045
33312090,33312045
33312095,33312045
33312106,33312045
33312003,33312045
33312062,33312046
33312022,33312046
33312110,33312046
33312018,33312046
33312088,33312046
33312015,33312048
33312017,33312048
33312069,33312048
33312091,33312048
33312019,33312051
33312095,33312051
33312105,33312051
33312055,33312051
33312035,33312051
33312015,33312054
33312013,33312054
33312092,33312054
33312099,33312054
33312112,33312057
33312051,33312057
33312014,33312057
33312090,33312058
33312108,33312058
33312074,33312058
33312106,33312058
33312096,33312058
33312005,33312058
33312093,33312060
33312080,33312060
33312110,33312060
33312054,33312060
33312091,33312060
33312036,33312060
33312018,33312062
33312046,33312062
33312014,33312064
33312108,33312065
33312014,33312065
33312080,33312065
33312036,33312067
33312064,33312067
33312014,33312067
33312091,33312069
33312093,33312069
33312015,33312069
33312071,33312070
33312078,33312070
33312067,33312071
33312032,33312071
33312078,33312074
33312064,33312077
33312065,33312077
33312060,33312077
33312071,33312077
33312067,33312077
33312091,33312077
33312007,33312077
33312060,33312080
33312088,33312080
33312057,33312088
33312080,33312090
33312058,33312090
33312106,33312090
33312096,33312090
33312060,33312091
33312078,33312091
33312074,33312091
33312036,33312091
33312077,33312092
33312011,33312092
33312065,33312092
33312067,33312092
33312033,33312093
33312095,33312093
33312112,33312093
33312032,33312093
33312058,33312095
33312074,33312095
33312093,33312095
33312111,33312095
33312112,33312095
33312032,33312095
33312108,33312095
33312099,33312096
33312078,33312096
33312033,33312098
33312111,33312098
33312062,33312098
33312067,33312099
33312011,33312099
33312035,33312099
33312065,33312099
33312054,33312099
33312111,33312108
33312022,33312108
33312048,33312108
33312098,33312108
33312030,33312108
33312096,33312108
33312065,33312109
33312033,33312110
33312108,33312110
33312098,33312111
33312032,33312112
33312140,33312116
33312122,33312116
33312148,33312120
33312146,33312121
33312130,33312121
33312157,33312121
33312140,33312122
33312138,33312122
33312126,33312122
33312135,33312124
33312138,33312124
33312126,33312124
33312127,33312124
33312131,33312124
33312140,33312125
33312122,33312125
33312142,33312126
33312121,33312126
33312130,33312126
33312132,33312126
33312125,33312126
33312135,33312126
33312128,33312126
33312132,33312127
33312139,33312127
33312135,33312127
33312135,33312128
33312139,33312128
33312156,33312128
33312142,33312130
33312132,33312130
33312125,33312130
33312127,33312130
33312121,33312130
33312134,33312130
33312125,33312131
33312126,33312131
33312124,33312131
33312135,33312131
33312139,33312132
33312157,33312132
33312132,33312135
33312130,33312135
33312156,33312135
33312121,33312135
33312131,33312135
33312139,33312138
33312134,33312138
33312128,33312139
33312120,33312139
33312121,33312139
33312156,33312139
33312127,33312139
33312125,33312139
33312152,33312140
33312130,33312142
33312131,33312142
33312121,33312144
33312120,33312144
33312151,33312146
33312116,33312146
33312127,33312146
33312157,33312146
33312134,33312146
33312140,33312148
33312156,33312148
33312122,33312148
33312116,33312148
33312131,33312151
33312134,33312151
33312140,33312152
33312116,33312155
33312128,33312156
33312105,33312157
33312019,33312157
33312225,33312206
33312229,33312206
33312213,33312206
33312224,33312206
33312227,33312209
33312234,33312209
33312224,33312211
33312226,33312211
33312213,33312211
33312220,33312211
33312226,33312212
33312229,33312212
33312215,33312212
33312218,33312212
33312225,33312212
33312220,33312212
33312214,33312212
33312233,33312212
33312205,33312212
33312218,33312213
33312232,33312213
33312234,33312213
33312224,33312213
33312233,33312214
33312232,33312214
33312212,33312214
33312225,33312214
33312220,33312214
33312220,33312215
33312206,33312215
33312209,33312215
33312211,33312215
33312212,33312215
33312224,33312215
33312213,33312218
33312212,33312218
33312215,33312218
33312214,33312218
33312211,33312218
33312205,33312218
33312218,33312220
33312214,33312220
33312212,33312220
33312213,33312220
33312229,33312224
33312212,33312224
33312207,33312224
33312211,33312224
33312205,33312224
33312226,33312224
33312205,33312225
33312213,33312225
33312230,33312225
33312214,33312225
33312209,33312225
33312218,33312225
33312208,33312225
33312232,33312225
33312227,33312225
33312215,33312225
33312207,33312225
33312233,33312225
33312207,33312226
33312232,33312226
33312205,33312226
33312218,33312226
33312206,33312226
33312233,33312226
33312211,33312226
33312224,33312226
33312209,33312227
33312208,33312227
33312215,33312227
33312209,33312228
33312234,33312229
33312206,33312229
33312209,33312230
33312227,33312230
33312230,33312230
33312226,33312230
33312211,33312232
33312234,33312232
33312229,33312232
33312207,33312232
33312220,33312232
33312227,33312233
33312214,33312233
33312256,33312234
33312246,33312234
33312077,33312234
33312245,33312241
33312250,33312241
33312207,33312241
33312247,33312241
33312282,33312241
33312274,33312241
33312269,33312241
33312277,33312241
33312245,33312243
33312250,33312243
33312251,33312243
33312282,33312243
33312269,33312243
33312244,33312243
33312246,33312243
33312064,33312243
33312283,33312243
33312242,33312243
33312278,33312243
33312279,33312243
33312250,33312244
33312269,33312244
33312252,33312244
33312279,33312244
33312282,33312244
33312269,33312245
33312243,33312245
33312246,33312245
33312244,33312245
33312242,33312245
33312256,33312246
33312281,33312246
33312244,33312246
33312250,33312246
33312274,33312246
33312252,33312246
33312282,33312246
33312247,33312246
33312243,33312246
33312245,33312246
33312277,33312247
33312251,33312247
33312246,33312247
33312250,33312247
33312244,33312247
33312275,33312250
33312282,33312250
33312272,33312250
33312241,33312250
33312274,33312250
33312278,33312251
33312243,33312251
33312122,33312251
33312281,33312256
33312274,33312256
33312256,33312262
33312272,33312262
33312281,33312266
33312278,33312269
33312251,33312272
33312242,33312272
33312241,33312272
33312277,33312272
33312275,33312272
33312244,33312272
33312243,33312272
33312283,33312272
33312256,33312274
33312252,33312274
33312272,33312274
33312281,33312274
33312242,33312274
33312279,33312274
33312277,33312275
33312272,33312275
33312247,33312275
33312283,33312275
33312251,33312277
33312247,33312277
33312246,33312277
33312274,33312277
33312247,33312278
33312283,33312278
33312279,33312278
33312242,33312278
33312243,33312278
33312064,33312278
33312251,33312278
33312256,33312278
33312277,33312278
33312252,33312279
33312283,33312279
33312241,33312281
33312275,33312281
33312272,33312282
33312275,33312282
33312241,33312282
33312279,33312283
33312278,33312283
33312064,33312283
33312122,33312283
3335083,3335021
3335064,3335021
3335033,3335021
3335081,3335021
3335050,3335021
3335031,3335022
3335048,3335022
3335040,3335022
3335112,3335023
3335145,3335023
3335037,3335023
3335024,3335023
3335048,3335023
3335038,3335023
3335031,3335023
3335022,3335023
3335075,3335024
3335097,3335024
3335048,3335025
3335080,3335026
3335113,3335026
3335082,3335026
3335086,3335026
3335101,3335027
3335083,3335028
3335114,3335028
3335054,3335028
3335114,3335029
3335056,3335029
3335114,3335030
3335097,3335030
3335075,3335030
3335098,3335030
3335037,3335031
3335048,3335031
3335075,3335031
3335043,3335031
3335046,3335033
3335050,3335033
3335043,3335033
3335023,3335037
3335045,3335037
3335031,3335037
3335062,3335038
3335045,3335040
3335033,3335040
3335037,3335040
3335107,3335040
3335031,3335040
3335044,3335042
3335053,3335043
3335052,3335043
3335062,3335043
3335112,3335043
3335073,3335043
3335048,3335043
3335053,3335044
3335023,3335044
3335053,3335045
3335046,3335045
3335077,3335045
3335054,3335045
3335093,3335045
3335065,3335046
3335044,3335046
3335053,3335046
3335109,3335048
3335037,3335048
3335031,3335048
3335046,3335048
3335023,3335048
3335024,3335048
3335062,3335048
3335105,3335048
3335050,3335049
3335057,3335049
3335033,3335049
3335075,3335049
3335073,3335049
3335033,3335050
3335109,3335050
3335046,3335050
3335062,3335050
3335105,3335050
3335022,3335050
3335024,3335050
3335104,3335050
3335101,3335050
3335075,3335050
3335044,3335050
3335082,3335052
3335108,3335052
3335077,3335052
3335086,3335052
3335059,3335052
3335113,3335052
3335040,3335052
3335065,3335052
3335043,3335052
3335056,3335052
3335062,3335052
3335107,3335053
3335080,3335053
3335057,3335056
3335056,3335056
3335024,3335057
3335038,3335057
3335073,3335058
3335021,3335058
3335145,3335058
3335056,3335059
3335052,3335062
3335073,3335062
3335064,3335062
3335030,3335064
3335104,3335064
3335066,3335064
3335076,3335064
3335059,3335064
3335097,3335064
3335092,3335065
3335052,3335065
3335100,3335065
3335082,3335065
3335059,3335065
3335104,3335065
3335026,3335065
3335101,3335066
3335073,3335071
3335100,3335072
3335071,3335073
3335088,3335073
3335091,3335076
3335071,3335076
3335076,3335077
3335021,3335077
3335052,3335077
3335082,3335077
3335054,3335077
3335092,3335077
3335100,3335077
3335072,3335077
3335080,3335077
3335040,3335077
3335105,3335079
3335064,3335079
3335030,3335079
3335098,3335079
3335117,3335079
3335066,3335079
3335101,3335079
3335117,3335080
3335112,3335081
3335030,3335081
3335066,3335081
3335079,3335081
3335072,3335082
3335026,3335082
3335095,3335082
3335022,3335083
3335077,3335086
3335092,3335086
3335082,3335086
3335095,3335086
3335072,3335086
3335065,3335086
3335052,3335086
3335026,3335086
3335100,3335088
3335135,3335088
3335096,3335088
3335054,3335088
3335109,3335089
3335096,3335089
3335022,3335091
3335072,3335091
3335096,3335091
3335088,3335091
3335072,3335092
3335096,3335092
3335077,3335092
3335095,3335092
3335021,3335092
3335096,3335093
3335095,3335093
3335113,3335095
3335093,3335095
3335080,3335095
3335057,3335095
3335086,3335095
3335065,3335095
3335100,3335095
3335098,3335097
3335059,3335097
3335021,3335097
3335054,3335097
3335064,3335097
3335114,3335097
3335083,3335097
3335030,3335097
3335105,3335098
3335066,3335098
3335101,3335098
3335044,3335100
3335083,3335100
3335108,3335100
3335023,3335102
3335045,3335102
3335083,3335102
3335117,3335105
3335091,3335105
3335077,3335105
3335098,3335105
3335102,3335105
3335093,3335105
3335112,3335105
3335079,3335105
3335108,3335105
3335109,3335105
3335093,3335107
3335044,3335107
3335153,3335108
3335102,3335108
3335040,3335108
3335109,3335108
3335107,3335108
3335146,3335108
3335093,3335109
3335091,3335109
3335038,3335109
3335112,3335109
3335105,3335109
3335024,3335109
3335108,3335109
3335045,3335109
3335059,3335109
3335117,3335112
3335091,3335112
3335086,3335117
3335108,3335117
3335113,3335117
3335097,3335117
3335119,3335119
3335148,3335121
3335157,3335121
3335123,3335122
3335154,3335122
3335141,3335122
3335122,3335124
3335145,3335124
3335126,3335125
3335102,3335125
3335134,3335125
3335139,3335126
3335128,3335126
3335037,3335126
3335132,3335127
3335123,3335127
3335113,3335127
3335137,3335127
3335141,3335127
3335126,3335127
3335086,3335127
3335127,3335128
3335153,3335128
3335122,3335128
3335156,3335128
3335129,3335128
3335133,3335128
3335126,3335128
3335145,3335128
3335137,3335128
3335128,3335129
3335126,3335129
3335133,3335129
3335127,3335129
3335123,3335129
3335148,3335129
3335153,3335132
3335144,3335132
3335154,3335132
3335127,3335132
3335146,3335132
3335129,3335133
3335157,3335133
3335128,3335133
3335132,3335135
3335141,3335135
3335139,3335135
3335121,3335137
3335132,3335139
3335125,3335139
3335139,3335141
3335125,3335141
3335135,3335141
3335134,3335143
3335125,3335143
3335119,3335143
3335137,3335144
3335156,3335144
3335125,3335145
3335154,3335145
3335153,3335146
3335154,3335146
3335135,3335146
3335157,3335148
3335144,3335148
3335122,3335148
3335122,3335149
3335022,3335149
3335139,3335149
3335123,3335150
3335122,3335150
3335143,3335150
3335146,3335153
3335143,3335153
3335128,3335153
3335154,3335153
3335143,3335154
3335123,3335154
3335121,3335154
3335137,3335156
3335134,3335156
3335132,3335157
3335121,3335157
3335030,3335157
3335148,3335157
3335156,3335157
