"name","address","region","village","takeup_survey","age","agpop","educ","rice_inc","ricearea_2010","disaster_loss","insurance_repay","insurance_buy","disaster_prob","general_trust","male","default","delay","intensive","info_takeup_rate","info_takeup_list","info_none","understanding","day","risk_averse","literacy","educ_good","reveal","disaster_yes"
"3335023","yazhoushangbian1",3,"yazhou",0,38,4,"2",100,11,NA,"0","1",40,"1","1","1","0","0","0","0","1",NA,34,0,"1","1","0","0"
"3335045","yazhoushangbian1",3,"yazhou",0,55,2,"0",100,6,30,"0","0",30,"1","1","1","0","1","0","0","1",0.800000011920929,34,0.199999988079071,"0","0","0","1"
"3335062","yazhoushangbian1",3,"yazhou",0,40,4,"1",100,14,NA,"1","1",50,"1","1","1","1","1","1","0","0",0.600000023841858,34,0,"1","0",NA,"0"
"3335107","yazhoushangbian2",3,"yazhou",1,46,5,"1",100,87,15,"0","0",10,"1","1","0","0","1","0","0","1",0.800000011920929,32,0.399999976158142,"1","0","0","1"
"3335044","yazhoushangbian1",3,"yazhou",0,59,4,"1",100,10,NA,"0","1",20,"1","1","1","0","0","0","0","1",0.200000002980232,34,0,"1","0","0","0"
"3335053","yazhoushangbian2",3,"yazhou",1,40,5,"0",90,25,NA,"0","0",50,"1","1","0","1","1","0","0","1",1,32,0,"0","0",NA,"1"
"3335052","yazhoushangbian1",3,"yazhou",0,43,5,"3",30,6.30000019073486,NA,"1","1",20,"1","1","1","1","0","0","0","1",0.800000011920929,34,0,"1","1",NA,"0"
"3335073","yazhoushangbian2",3,"yazhou",1,50,6,"0",100,8,20,"0","0",50,"1","1","0","1","1","0","0","1",1,32,0,"0","0",NA,"1"
"3335077","yazhoushangbian2",3,"yazhou",0,44,5,"1",60,17,70,"0","1",50,"1","1","0","0","1","0","0","1",0.600000023841858,32,0,"1","0","0","1"
"3335093","yazhoushangbian2",3,"yazhou",0,57,7,"2",100,16,4,"1","1",50,"1","1","0","1","0","0","0","1",0.600000023841858,32,1,"1","1",NA,"1"
"3335065","yazhoushangbian1",3,"yazhou",1,42,3,"0",100,6,80,"0","1",50,"1","0","1","0","0","0","0","1",0.200000002980232,34,0,"0","0","0","1"
"3335109","yazhoushangbian2",3,"yazhou",0,36,4,"1",13,3,0,"1","1",50,"1","1","0","1","0","0","1","0",0.600000023841858,32,0,"1","0",NA,"0"
"3335105","yazhoushangbian2",3,"yazhou",0,36,4,"1",20,7,0,"1","1",20,"1","1","0","1","0","0","1","0",0.600000023841858,32,0,"1","0",NA,"0"
"3335057","yazhoushangbian1",3,"yazhou",1,72,2,"2",100,1.5,NA,"0","1",20,"1","1","1","1","1","0","0","1",0.200000002980232,34,0,"1","1",NA,"0"
"3335104","yazhoushangbian2",3,"yazhou",1,40,4,"2",100,7,80,"1","1",100,"1","1","0","1","1","1","0","0",0.600000023841858,32,0.199999988079071,"1","1",NA,"1"
"3335108","yazhoushangbian2",3,"yazhou",0,41,4,"1",30,2,NA,"0","1",40,"1","1","0","1","0","0","0","1",0.400000005960464,32,0,"1","0",NA,"0"
"3335059","yazhoushangbian1",3,"yazhou",0,51,2,"0",100,9,35,"0","1",20,"1","0","1","1","1","0","0","1",0,34,0,"0","0",NA,"1"
"3335021","yazhoushangbian1",3,"yazhou",0,57,4,"1",100,10,NA,"1","1",20,"1","1","1","0","0","0","0","1",0.600000023841858,34,0,"1","0","0","0"
"3335030","yazhoushangbian1",3,"yazhou",0,40,3,"2",100,10,NA,"0","0",50,"1","1","1","1","0","0","1","0",1,34,0,"1","1",NA,"0"
"3335066","yazhoushangbian1",3,"yazhou",0,41,4,"1",30,3.59999990463257,NA,"1","1",20,"1","1","1","0","1","0","0","1",0.800000011920929,34,0,"1","0","1","0"
"3335076","yazhoushangbian2",3,"yazhou",1,45,5,"0",100,5,20,"0","0",50,"1","1","0","1","1","0","0","1",1,32,0,"0","0",NA,"1"
"3335092","yazhoushangbian2",3,"yazhou",0,51,1,"1",100,4,NA,"1","1",40,"1","1","0","0","1","0","0","1",NA,32,0,"1","0","0","0"
"3335100","yazhoushangbian2",3,"yazhou",0,59,10,"0",100,25,50,"1","1",40,"1","1","0","1","1","0","1","0",0.800000011920929,32,0,"0","0",NA,"1"
"3335026","yazhoushangbian1",3,"yazhou",0,42,6,"0",100,5,20,"0","0",30,"1","1","1","0","0","0","0","1",0.200000002980232,34,0,"0","0",NA,"1"
"3335071","yazhoushangbian2",3,"yazhou",1,36,4,"1",100,6,20,"1","1",30,"1","1","0","1","1","0","0","1",1,32,0,"1","0",NA,"1"
"3335088","yazhoushangbian2",3,"yazhou",1,58,2,"1",90,6,NA,"1","1",30,"1","0","0","1","0","0","1","0",0.200000002980232,32,0.399999976158142,"1","0",NA,"0"
"3335091","yazhoushangbian2",3,"yazhou",1,28,5,"2",100,175,NA,"1","1",50,"1","1","0","0","1","0","0","1",0.800000011920929,32,0.600000023841858,"1","1","0","1"
"3335072","yazhoushangbian2",3,"yazhou",1,47,5,"0",100,5,50,"0","1",20,"1","1","0","0","0","0","0","1",0.600000023841858,32,0.399999976158142,"0","0","0","1"
"3335117","yazhoushangbian2",3,"yazhou",1,40,4,"1",70,15,NA,"0","0",50,"1","0","0","1","0","0","0","1",1,32,0.200000002980232,"1","0",NA,NA
"3335079","yazhoushangbian2",3,"yazhou",1,57,4,"2",90,6,30,"0","0",30,"1","1","0","1","1","0","0","1",1,32,0,"1","1",NA,"1"
"3335095","yazhoushangbian2",3,"yazhou",0,44,4,"1",100,16,30,"1","1",20,"1","1","0","1","1","0","1","0",0.400000005960464,32,0,"1","0",NA,"1"
