"id","village","address","network_id","network_village","network_address","takeup_survey"
1111145,"fusheng","fusheng23",1111133,"fusheng","fusheng23",1
1111144,"fusheng","fusheng23",1111136,"fusheng","fusheng23",0
1111131,"fusheng","fusheng23",1111136,"fusheng","fusheng23",0
1111127,"fusheng","fusheng23",1111136,"fusheng","fusheng23",0
1111125,"fusheng","fusheng23",1111140,"fusheng","fusheng23",1
1111144,"fusheng","fusheng23",1111140,"fusheng","fusheng23",1
1111054,"fusheng","fusheng21",1111140,"fusheng","fusheng23",1
1111136,"fusheng","fusheng23",1111140,"fusheng","fusheng23",1
1111140,"fusheng","fusheng23",1111144,"fusheng","fusheng23",1
1111127,"fusheng","fusheng23",1111146,"fusheng","fusheng23",0
1111125,"fusheng","fusheng23",1111146,"fusheng","fusheng23",0
1111131,"fusheng","fusheng23",1111146,"fusheng","fusheng23",0
1111123,"fusheng","fusheng23",1111147,"fusheng","fusheng23",1
1111371,"fusheng","fusheng5",1111147,"fusheng","fusheng23",1
1111126,"fusheng","fusheng23",1111147,"fusheng","fusheng23",1
1111146,"fusheng","fusheng23",1111148,"fusheng","fusheng23",1
1111054,"fusheng","fusheng21",1111148,"fusheng","fusheng23",1
1111207,"fusheng","fusheng31",1111151,"fusheng","fusheng31",0
1111209,"fusheng","fusheng31",1111151,"fusheng","fusheng31",0
1111169,"fusheng","fusheng31",1111151,"fusheng","fusheng31",0
1111165,"fusheng","fusheng31",1111151,"fusheng","fusheng31",0
1111208,"fusheng","fusheng31",1111151,"fusheng","fusheng31",0
1111155,"fusheng","fusheng31",1111151,"fusheng","fusheng31",0
1111165,"fusheng","fusheng31",1111154,"fusheng","fusheng31",1
1111155,"fusheng","fusheng31",1111154,"fusheng","fusheng31",1
1111194,"fusheng","fusheng31",1111155,"fusheng","fusheng31",0
1111151,"fusheng","fusheng31",1111155,"fusheng","fusheng31",0
1111161,"fusheng","fusheng31",1111155,"fusheng","fusheng31",0
1111171,"fusheng","fusheng31",1111155,"fusheng","fusheng31",0
1111179,"fusheng","fusheng31",1111155,"fusheng","fusheng31",0
1111164,"fusheng","fusheng31",1111155,"fusheng","fusheng31",0
1111191,"fusheng","fusheng31",1111155,"fusheng","fusheng31",0
1111165,"fusheng","fusheng31",1111161,"fusheng","fusheng31",1
1111162,"fusheng","fusheng31",1111161,"fusheng","fusheng31",1
1111187,"fusheng","fusheng31",1111161,"fusheng","fusheng31",1
1111196,"fusheng","fusheng31",1111161,"fusheng","fusheng31",1
1111194,"fusheng","fusheng31",1111161,"fusheng","fusheng31",1
1114420,"zhangxi","zhangxi6",1111162,"fusheng","fusheng31",1
1116143,"dukou","dukou31",1111162,"fusheng","fusheng31",1
1111161,"fusheng","fusheng31",1111162,"fusheng","fusheng31",1
1111404,"fusheng","fusheng67",1111162,"fusheng","fusheng31",1
1111179,"fusheng","fusheng31",1111162,"fusheng","fusheng31",1
1111194,"fusheng","fusheng31",1111162,"fusheng","fusheng31",1
1113150,"shigang","shigang21",1111162,"fusheng","fusheng31",1
1118435,"huangshan","huangshan10",1111162,"fusheng","fusheng31",1
1111196,"fusheng","fusheng31",1111162,"fusheng","fusheng31",1
1113093,"shigang","shigang12",1111162,"fusheng","fusheng31",1
1111155,"fusheng","fusheng31",1111162,"fusheng","fusheng31",1
1111252,"fusheng","fusheng32",1111162,"fusheng","fusheng31",1
1111165,"fusheng","fusheng31",1111162,"fusheng","fusheng31",1
1111209,"fusheng","fusheng31",1111163,"fusheng","fusheng31",1
1111164,"fusheng","fusheng31",1111163,"fusheng","fusheng31",1
1111166,"fusheng","fusheng31",1111164,"fusheng","fusheng31",1
1111166,"fusheng","fusheng31",1111165,"fusheng","fusheng31",1
1111163,"fusheng","fusheng31",1111165,"fusheng","fusheng31",1
1111126,"fusheng","fusheng23",1111165,"fusheng","fusheng31",1
1111164,"fusheng","fusheng31",1111166,"fusheng","fusheng31",1
1111165,"fusheng","fusheng31",1111166,"fusheng","fusheng31",1
1111201,"fusheng","fusheng31",1111169,"fusheng","fusheng31",1
1111209,"fusheng","fusheng31",1111169,"fusheng","fusheng31",1
1111174,"fusheng","fusheng31",1111169,"fusheng","fusheng31",1
1111175,"fusheng","fusheng31",1111169,"fusheng","fusheng31",1
1111174,"fusheng","fusheng31",1111170,"fusheng","fusheng31",1
1111203,"fusheng","fusheng31",1111171,"fusheng","fusheng31",0
1111205,"fusheng","fusheng31",1111171,"fusheng","fusheng31",0
1111154,"fusheng","fusheng31",1111171,"fusheng","fusheng31",0
1111187,"fusheng","fusheng31",1111173,"fusheng","fusheng31",0
1111175,"fusheng","fusheng31",1111173,"fusheng","fusheng31",0
1111270,"fusheng","fusheng32",1111173,"fusheng","fusheng31",0
1111269,"fusheng","fusheng32",1111174,"fusheng","fusheng31",1
1111170,"fusheng","fusheng31",1111174,"fusheng","fusheng31",1
1111162,"fusheng","fusheng31",1111174,"fusheng","fusheng31",1
1111164,"fusheng","fusheng31",1111174,"fusheng","fusheng31",1
1111207,"fusheng","fusheng31",1111174,"fusheng","fusheng31",1
1111197,"fusheng","fusheng31",1111174,"fusheng","fusheng31",1
1111179,"fusheng","fusheng31",1111174,"fusheng","fusheng31",1
1111169,"fusheng","fusheng31",1111174,"fusheng","fusheng31",1
1111169,"fusheng","fusheng31",1111175,"fusheng","fusheng31",0
1111184,"fusheng","fusheng31",1111175,"fusheng","fusheng31",0
1111176,"fusheng","fusheng31",1111175,"fusheng","fusheng31",0
1111177,"fusheng","fusheng31",1111175,"fusheng","fusheng31",0
1111170,"fusheng","fusheng31",1111176,"fusheng","fusheng31",1
1111194,"fusheng","fusheng31",1111176,"fusheng","fusheng31",1
